age,tex86
80,0.2831
134,0.2856
189,0.2832
243,0.2854
350,0.3081
403,0.3159
456,0.3208
508,0.3489
612,0.3495
664,0.3146
715,0.2732
811,0.3323
867,0.3523
917,0.3114
966,0.3329
1016,0.3286
1113,0.3526
1162,0.3353
1210,0.3313
1258,0.356
1352,0.3426
1399,0.3573
1446,0.3262
1534,0.2889
1584,0.3367
1630,0.3492
1675,0.2969
1810,0.2804
1854,0.2943
1898,0.2814
1942,0.2954
2028,0.2962
2114,0.2867
2156,0.2977
2220,0.2932
2303,0.3226
2426,0.3084
2508,0.2823
2588,0.3122
2628,0.2737
2757,0.2871
3199,0.3382
3272,0.306
3380,0.2731
3452,0.3039
3522,0.3322
3592,0.3186
3815,0.3015
3915,0.315
4015,0.2987
4113,0.3174
4194,0.3221
4258,0.3272
4322,0.3206
4386,0.3024
4449,0.3752
4449,0.3711
4511,0.2989
4558,0.2951
4635,0.3143
4758,0.3093
4940,0.2919
5000,0.2988
5060,0.3035
5060,0.3067
5134,0.2808
5223,0.3015
5312,0.3114
5488,0.3048
5561,0.3566
5649,0.3326
5678,0.3322
5766,0.3024
5912,0.3053
5985,0.2949
6431,0.3226
6461,0.3391
6932,0.3274
7230,0.3063
7424,0.3185
7457,0.3011
7740,0.3111
7808,0.2777
8087,0.3341
8141,0.3361
8304,0.3222
8433,0.315
8527,0.3817
8641,0.3494
8698,0.2833
8835,0.3039
9014,0.3495
9137,0.3701
9259,0.3676
9333,0.2849
9407,0.3113
9439,0.3984
9488,0.3116
9488,0.319
9538,0.3452
9652,0.3381
9685,0.3807
9718,0.3225
9767,0.3504
10213,0.3483
10297,0.3682
10352,0.322
10464,0.3214
10511,0.3149
10548,0.3332
10689,0.3217
10764,0.3988
10801,0.4336
10950,0.3307
11034,0.3522
11173,0.3991
11303,0.3721
11359,0.3268
11378,0.355
11461,0.353
11564,0.3448
11610,0.3826
11648,0.4195
11694,0.4102
11731,0.331
11750,0.3332
11769,0.4293
